date,size_sqm,bedrooms,bathrooms,age,location,price
2022-01-02,134,2,1,2,Suburban,1347893
2022-01-09,115,4,1,20,Urban,1308791
2022-01-16,139,1,2,2,Rural,1297548
2022-01-23,165,3,2,26,Rural,1509339
2022-01-30,112,1,1,1,Rural,1030059
2022-02-06,112,2,2,2,Suburban,1187219
2022-02-13,167,4,1,16,Suburban,1625104
2022-02-20,143,3,1,13,Urban,1485059
2022-02-27,105,2,1,6,Rural,1077570
2022-03-06,136,1,1,21,Suburban,1250749
2022-03-13,106,1,1,20,Suburban,921718
2022-03-20,106,4,2,5,Urban,1339239
2022-03-27,127,2,2,7,Rural,1237366
2022-04-03,62,2,2,18,Rural,841963
2022-04-10,68,4,2,18,Urban,957626
2022-04-17,103,3,1,11,Urban,1129002
2022-04-24,89,2,2,4,Urban,1044391
2022-05-01,129,4,1,4,Urban,1311535
2022-05-08,92,2,1,13,Rural,980307
2022-05-15,77,4,2,26,Rural,1041847
2022-05-22,163,1,2,16,Urban,1437538
2022-05-29,113,1,1,15,Suburban,1070129
2022-06-05,122,2,1,3,Suburban,1225733
2022-06-12,77,2,1,24,Rural,833261
2022-06-19,103,1,2,7,Rural,1117298
2022-06-26,123,3,1,2,Urban,1341644
2022-07-03,85,4,1,20,Suburban,1110089
2022-07-10,131,3,1,4,Rural,1322021
2022-07-17,101,3,1,22,Suburban,1100571
2022-07-24,111,3,2,23,Urban,1232911
2022-07-31,101,1,2,24,Rural,1026014
2022-08-07,175,2,1,6,Rural,1592383
2022-08-14,119,3,2,17,Suburban,1304914
2022-08-21,88,1,1,23,Suburban,812960
2022-08-28,144,4,2,7,Rural,1480774
2022-09-04,83,2,2,10,Suburban,909662
2022-09-11,126,4,2,28,Suburban,1354398
2022-09-18,61,3,2,13,Urban,824696
2022-09-25,80,2,1,17,Suburban,931606
2022-10-02,125,3,1,12,Rural,1211566
2022-10-09,142,2,1,5,Urban,1339434
2022-10-16,125,3,2,12,Rural,1218635
2022-10-23,116,4,2,25,Urban,1358708
2022-10-30,110,4,1,0,Urban,1233022
2022-11-06,75,3,2,10,Suburban,951892
2022-11-13,98,2,2,6,Suburban,1059760
2022-11-20,106,4,1,9,Rural,1204212
2022-11-27,151,2,2,1,Suburban,1497961
2022-12-04,130,2,1,15,Urban,1452217
2022-12-11,67,4,2,4,Suburban,1027405
2022-12-18,129,1,1,15,Rural,1171239
2022-12-25,108,1,2,29,Urban,1068893
2023-01-01,99,2,2,22,Rural,1170616
2023-01-08,138,4,2,25,Suburban,1406557
2023-01-15,150,1,2,15,Urban,1454248
2023-01-22,147,3,2,26,Rural,1442622
2023-01-29,94,2,1,14,Suburban,1001883
2023-02-05,110,1,2,8,Suburban,1035564
2023-02-12,129,4,1,29,Rural,1337830
2023-02-19,149,4,1,0,Urban,1552982
2023-02-26,105,2,1,8,Rural,1135799
2023-03-05,114,4,2,10,Suburban,1229701
2023-03-12,86,3,1,4,Rural,973973
2023-03-19,84,3,2,5,Suburban,912693
2023-03-26,144,1,2,29,Urban,1278280
2023-04-02,160,4,2,7,Rural,1596532
2023-04-09,117,3,1,14,Urban,1236089
2023-04-16,150,2,2,26,Rural,1494786
2023-04-23,130,4,2,15,Suburban,1421970
2023-04-30,100,1,2,29,Urban,1101120
2023-05-07,130,2,1,17,Suburban,1272010
2023-05-14,166,2,1,11,Rural,1581804
2023-05-21,118,2,1,22,Suburban,1149726
2023-05-28,166,3,1,27,Rural,1530826
2023-06-04,41,2,2,3,Urban,577957
2023-06-11,144,3,1,24,Suburban,1458287
2023-06-18,122,2,2,21,Suburban,1265104
2023-06-25,111,3,1,15,Rural,1195365
2023-07-02,122,4,2,22,Rural,1321745
2023-07-09,60,3,1,10,Rural,860809
2023-07-16,113,3,1,21,Urban,1240801
2023-07-23,130,4,1,26,Suburban,1428091
2023-07-30,164,2,2,23,Rural,1530794
2023-08-06,104,4,2,21,Rural,1126076
2023-08-13,95,2,1,6,Suburban,1075884
2023-08-20,104,3,1,23,Urban,1154042
2023-08-27,147,2,1,14,Suburban,1482602
2023-09-03,129,3,1,16,Rural,1321146
2023-09-10,104,2,1,14,Suburban,1058349
2023-09-17,135,3,1,9,Rural,1420216
2023-09-24,122,3,2,27,Rural,1213440
2023-10-01,149,1,2,3,Suburban,1492766
2023-10-08,98,2,2,21,Suburban,1132080
2023-10-15,110,2,2,16,Urban,1185270
2023-10-22,108,1,2,3,Rural,1152799
2023-10-29,76,3,2,21,Rural,923380
2023-11-05,128,3,1,22,Rural,1330597
2023-11-12,127,1,1,28,Rural,1126662
2023-11-19,120,1,1,21,Rural,1137715
2023-11-26,112,4,1,10,Suburban,1205095
2023-12-03,77,3,1,3,Rural,1005565
2023-12-10,107,4,2,11,Suburban,1163800
2023-12-17,109,2,2,28,Urban,1159262
2023-12-24,95,4,2,22,Rural,1060914
2023-12-31,115,1,2,9,Urban,1247735
2024-01-07,132,1,2,13,Suburban,1408697
2024-01-14,176,1,1,17,Suburban,1659745
2024-01-21,125,1,2,5,Urban,1451564
2024-01-28,127,4,2,4,Rural,1333102
2024-02-04,117,4,2,1,Suburban,1303440
2024-02-11,62,4,1,24,Suburban,808344
2024-02-18,119,1,1,12,Suburban,1189562
2024-02-25,121,1,1,22,Suburban,1128653
2024-03-03,193,3,1,13,Suburban,1836916
2024-03-10,114,3,1,2,Suburban,1296024
2024-03-17,129,1,1,22,Urban,1213541
2024-03-24,118,3,2,10,Rural,1215340
2024-03-31,84,2,2,26,Rural,898573
2024-04-07,154,2,2,21,Rural,1473777
2024-04-14,142,1,1,22,Rural,1362000
2024-04-21,143,4,1,3,Urban,1532968
2024-04-28,92,2,1,12,Urban,1016486
2024-05-05,162,2,1,28,Rural,1540083
2024-05-12,77,4,2,25,Suburban,1047569
2024-05-19,137,3,1,28,Rural,1433436
2024-05-26,185,4,1,7,Suburban,1901956
2024-06-02,90,3,1,7,Suburban,1075518
2024-06-09,103,3,1,22,Urban,1202251
2024-06-16,122,4,1,12,Suburban,1352629
2024-06-23,104,3,2,22,Urban,1198761
2024-06-30,73,2,1,9,Rural,752294
2024-07-07,122,1,1,12,Urban,1292170
2024-07-14,88,3,2,12,Suburban,1086572
2024-07-21,134,2,1,23,Suburban,1381351
2024-07-28,92,4,1,16,Suburban,980209
2024-08-04,166,3,2,5,Rural,1673144
2024-08-11,96,2,2,1,Urban,1101205
2024-08-18,110,3,2,16,Rural,1281568
2024-08-25,144,4,2,11,Urban,1639710
2024-09-01,83,1,2,25,Rural,885211
2024-09-08,126,3,2,22,Rural,1302403
2024-09-15,159,1,2,5,Suburban,1582360
2024-09-22,71,3,2,4,Rural,874590
2024-09-29,125,3,2,4,Rural,1348513
2024-10-06,127,4,2,24,Urban,1421081
2024-10-13,143,3,1,8,Rural,1573824
2024-10-20,82,2,2,27,Suburban,1028497
2024-10-27,80,2,2,27,Rural,952652
2024-11-03,135,1,2,21,Urban,1297484
2024-11-10,128,1,2,28,Urban,1345707
2024-11-17,127,2,2,2,Rural,1336383
2024-11-24,130,1,1,22,Rural,1292673
2024-12-01,99,1,1,19,Urban,1076119
2024-12-08,126,2,1,4,Suburban,1326164
2024-12-15,128,2,2,6,Rural,1340689
2024-12-22,98,2,2,11,Suburban,1029218
2024-12-29,175,4,1,6,Suburban,1777629
2025-01-05,134,4,2,9,Rural,1491166
2025-01-12,84,2,2,7,Suburban,1073969
2025-01-19,139,3,1,16,Urban,1461975
2025-01-26,90,2,2,4,Suburban,1069959
2025-02-02,143,4,2,14,Urban,1526450
2025-02-09,154,1,2,27,Rural,1521965
2025-02-16,95,3,2,8,Suburban,1211187
2025-02-23,148,3,2,22,Urban,1614605
2025-03-02,132,1,2,10,Urban,1398840
2025-03-09,144,3,2,27,Rural,1548627
2025-03-16,176,1,1,12,Suburban,1627249
2025-03-23,112,4,1,17,Urban,1280341
2025-03-30,97,3,2,16,Urban,1241575
2025-04-06,93,3,2,23,Rural,1122715
2025-04-13,95,1,1,8,Suburban,969825
2025-04-20,117,1,1,9,Suburban,1177432
2025-04-27,130,4,1,4,Urban,1582954
2025-05-04,128,1,1,29,Suburban,1273583
2025-05-11,144,1,1,10,Suburban,1458858
2025-05-18,120,4,1,21,Suburban,1298047
2025-05-25,163,2,1,14,Suburban,1647332
2025-06-01,112,2,2,1,Suburban,1192022
2025-06-08,201,1,1,26,Suburban,1746508
2025-06-15,138,4,1,20,Suburban,1540341
2025-06-22,94,2,1,27,Urban,1140222
2025-06-29,87,4,2,19,Urban,1146310
2025-07-06,134,1,2,23,Suburban,1320172
2025-07-13,113,1,2,23,Suburban,1265542
2025-07-20,141,4,1,13,Rural,1494760
2025-07-27,134,3,1,4,Urban,1483711
2025-08-03,117,1,1,26,Rural,1222197
2025-08-10,94,1,2,23,Urban,1042320
2025-08-17,74,1,2,5,Rural,833798
2025-08-24,106,1,2,25,Rural,1123775
2025-08-31,145,4,2,21,Rural,1517907
2025-09-07,126,4,2,28,Urban,1450769
2025-09-14,82,4,2,14,Urban,1068542
2025-09-21,125,4,1,28,Suburban,1400269
2025-09-28,131,3,2,3,Urban,1502904
2025-10-05,93,4,2,9,Urban,1282401
2025-10-12,124,4,2,27,Urban,1489362
2025-10-19,121,1,2,26,Urban,1302575
2025-10-26,85,3,1,18,Suburban,1063212
2025-11-02,130,1,1,8,Suburban,1320337
2025-11-09,136,3,2,20,Urban,1538977
2025-11-16,152,2,1,25,Rural,1421383
2025-11-23,151,3,1,9,Rural,1434051
2025-11-30,78,3,1,3,Urban,1108095
2025-12-07,91,1,1,21,Suburban,1022208
2025-12-14,135,3,1,29,Rural,1378650
2025-12-21,135,3,1,3,Suburban,1531227
2025-12-28,135,1,1,5,Suburban,1337425
2026-01-04,235,2,2,25,Rural,2139225
2026-01-11,137,2,1,7,Urban,1424793
2026-01-18,154,2,2,15,Suburban,1615881
2026-01-25,148,3,1,7,Rural,1456852
2026-02-01,139,1,1,27,Suburban,1326151
2026-02-08,110,2,1,15,Rural,1181485
2026-02-15,142,2,2,5,Urban,1483292
2026-02-22,96,2,1,16,Urban,1090984
2026-03-01,112,2,2,28,Urban,1147921
